Problem,Level,Mat. creation,Mat. reuse,Mat. multiply,Search,Reloading all,Total synthesis
1D stencil (k=3),R,0.000596314,0.080071819,0.202292886,0.012266107,0.040599444000000005,0.29522712600000006
Convolution (k=3),R,0.00060436,0.063527273,0.18618499900000002,0.00547773,0.015267407,0.255794362
2D stencil (k=3),R,0.005675381,0.012888916,0.003953139,0.003200556,0.015573683,0.025717992000000002
2D stencil (k=5),R,0.059528239,0.08777522399999999,0.022178677,0.042969946,0.065315152,0.21245208599999998
2D stencil (k=7),R,1.9631639010000002,0.32617777299999995,0.120922807,0.001292384,0.255719376,2.411556865
"FFM (w=4, registers)",R,0.0,0.000891296,0.0,0.002550431,0.0009591539999999999,0.0034417270000000003
"FFM (w=8, registers)",R,0.0,0.016076001999999995,0.0,2.728823613,0.016740832,2.744899615
"Trove (Sum, s=1)",R,0.0,0.0,0.0,0.000340934,9.79e-07,0.000340934
"Trove (Sum, s=2)",R,0.004253283,0.037190724999999994,0.09606529500000001,0.014404146,0.005379046,0.151913449
"Trove (Sum, s=3)",R,0.011912909,0.062370658,0.19217020499999998,0.018884169,0.01482699,0.285337941
"Trove (Sum, s=4)",R,0.026314884,0.198584534,0.545068987,0.243878291,0.024263448,1.0138466959999999
"Trove (Sum, s=5)",R,0.043009056,0.193476017,0.671087394,0.032010902,0.036762781999999994,0.939583369
"Trove (Sum, s=7)",R,0.087646667,0.436349729,1.21477827,0.046052652,0.072834091,1.784827318
"Trove (CRC, s=1)",R,0.0,0.0,0.0,0.000227266,2.6435e-05,0.000227266
"Trove (CRC, s=2)",R,0.0,0.031407485,0.200684647,0.010274577,0.034481293999999996,0.242366709
"Trove (CRC, s=3)",R,0.010544386,0.074544339,0.9181616089999999,0.018014809,0.14130875999999998,1.021265143
"Trove (CRC, s=4)",R,3.123281838,0.0,4.058827716,0.072257404,0.481265691,7.254366958
"Trove (CRC, s=5)",R,0.0,0.259177893,7.203258890000001,0.035488764,1.17321861,7.497925547000001
"Trove (CRC, s=7)",R,5.841681369,0.0,29.101641614000002,0.06437338,3.369440867,35.007696363
"Trove (RCR, s=1)",R,0.001072502,0.0,0.001148902,0.004699994,0.0008074400000000001,0.006921398
"Trove (RCR, s=2)",R,0.317352618,0.0,0.213200059,0.17610024,0.025461917,0.706652917
"Trove (RCR, s=3)",R,0.0,0.067605414,0.919142297,0.053126368,0.16751524,1.039874079
"Trove (RCR, s=4)",R,0.0,0.20705669299999999,4.197042198,0.39689595,0.480336914,4.8009948410000005
"Trove (RCR, s=5)",R,2.615771243,0.0,7.666561702000001,0.132276122,0.899097248,10.414609067
"Trove (RCR, s=7)",R,0.0,0.494339364,30.550184967000003,0.266228275,3.3233014400000003,31.310752606000005
1D stencil (k=3),FC,0.802084153,0.0,0.186195283,0.021581136,0.029566598,1.009860572
Convolution (k=3),FC,0.8227405729999999,0.0,0.19000172799999998,0.01069153,0.020611997,1.0234338309999997
2D stencil (k=3),FC,0.033365759,0.0,0.01023004,0.010688789,0.012016914,0.05428458800000001
2D stencil (k=5),FC,0.303931336,0.0,0.073831878,0.039653294,0.06861425100000001,0.417416508
2D stencil (k=7),FC,61.536962363,0.0,0.43766562099999995,0.867443988,0.310270617,62.842071972
"FFM (w=4, registers)",FC,0.000235755,0.009779969000000001,0.00024374200000000005,0.00326844,0.001560298,0.013527906000000003
"FFM (w=8, registers)",FC,0.0,0.020142227000000002,0.0,3.206603841,0.018734569000000006,3.226746068
1D stencil (k=3),F,1.123963923,0.024773564999999997,0.200364962,0.030832114,0.028677527,1.3799345640000003
Convolution (k=3),F,0.0,0.071354105,0.196526846,0.014992874,0.012187397999999999,0.28287382499999997
2D stencil (k=3),F,0.016154534999999998,0.0047040450000000004,0.009276125000000001,0.011564448,0.012349861000000002,0.041699152999999996
2D stencil (k=5),F,0.14445007099999999,0.035983487,0.065282998,0.040765431,0.066763041,0.286481987
2D stencil (k=7),F,0.603776515,0.202619135,0.30207281500000005,0.861025953,0.268788258,1.969494418
"FFM (w=4, registers)",F,0.0,0.001384369,4.88e-05,0.003485096,0.000789904,0.004918265
"FFM (w=8, registers)",F,7.5205e-05,0.014396044000000002,0.00013357100000000003,3.218918384,0.015338309999999997,3.2335232040000004
"Trove (Sum, s=1)",F,0.0,0.0,0.0,0.00045461,6.77e-07,0.00045461
"Trove (Sum, s=2)",F,0.007967613,0.032040781,0.090061089,0.01816447,0.015213168999999999,0.14823395299999997
"Trove (Sum, s=3)",F,0.023631073,0.07066090500000001,0.215349788,0.026067363,0.011680272000000002,0.335709129
"Trove (Sum, s=4)",F,0.057694377,0.208113377,0.57307236,0.363689367,0.028993641,1.2025694809999998
"Trove (Sum, s=5)",F,0.088842362,0.199039379,0.649722465,0.040956924,0.029125039999999998,0.9785611299999999
"Trove (Sum, s=7)",F,0.191324951,0.431656022,1.288871169,0.057137442,0.054686784,1.968989584
"Trove (CRC, s=1)",F,0.0,0.0,0.0,0.000302254,3.2548e-05,0.000302254
"Trove (CRC, s=2)",F,0.0,0.032448997,0.21109229899999998,0.012125618,0.027411217999999998,0.25566691399999997
"Trove (CRC, s=3)",F,1.151549396,0.0,0.9379033400000001,0.021429186,0.121379316,2.1108819220000004
"Trove (CRC, s=4)",F,4.354251519,0.0,4.254026130000001,0.098024425,0.3910076329999999,8.706302074000002
"Trove (CRC, s=5)",F,0.0,0.235909481,7.813940486000001,0.046221565,0.876300611,8.096071532
"Trove (CRC, s=7)",F,7.652625048,0.0,31.795169717,0.079521681,3.7115240099999993,39.527316446
"Trove (RCR, s=1)",F,0.001804689,0.0,0.001528121,0.009737083,0.0006412190000000001,0.013069893
"Trove (RCR, s=2)",F,0.410434049,0.0,0.231052257,1.9993162770000001,0.026772101,2.640802583
"Trove (RCR, s=3)",F,0.0,0.075097897,1.1254268510000003,0.10089242,0.124435086,1.3014171680000004
"Trove (RCR, s=4)",F,0.0,0.22464936,4.453994151,4.351907301,0.36902767700000005,9.030550812
"Trove (RCR, s=5)",F,3.533391223,0.0,8.403398786,0.20669396,0.910503103,12.143483969000002
"Trove (RCR, s=7)",F,0.0,0.575608392,33.231842889,0.341833989,3.2873979689999997,34.14928527
